Family,Genus,species,sub.species,binomial,other.genera,other.species,other.names.sub.species,Source.of.taxonomy information,notes.on.taxonomy,Sexual.System,Karyotype,notes..Karyotype,Predicted.ploidy,female2N,male2N,notesMale2N,notes..comments,cite.key,,,,,,
Nymphalidae,Hyaliris,antea,,Hyaliris antea,,,,GBIF,Accepted,,,,,,132,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hyalyris,antea,flebilis,Hyalyris antea flebilis,,,,GBIF,Accepted,,,,,,132,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,coeno,,Hyalyris coeno,,,,GBIF,Accepted,,,,,,,56-58,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,excelsa,,Hyalyris excelsa,,,,GBIF,Accepted,,,,,,120,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,leptalina,,Hyalyris leptalina,,,,GBIF,Accepted,,,,,,36,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,oulita,adelinda,Hyalyris oulita adelinda,Hyalyris,adelinda,,Lepindex,Synonym,,,,,,86,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,oulita,cana,Hyalyris oulita cana,Hyalyris,cana,,Lepindex,Synonym,,,,,,40,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,oulita,metella,Hyalyris oulita metella,Hyalyris,metella,,Lepindex,Synonym,,,,,,,196-200,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyalyris,oulita,,Hyalyris oulita,,,,GBIF,Accepted,,,,,,,52-56,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypanartia,bella,,Hypanartia bella,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypanartia,bella,,Hypanartia bella,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Hypanartia,dione,,Hypanartia dione,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypanartia,dione,,Hypanartia dione,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Hypanartia,kefersteini,,Hypanartia kefersteini,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypanartia,kefersteini,,Hypanartia kefersteini,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Hypanartia,lethe,,Hypanartia lethe,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypanartia,lethe,,Hypanartia lethe,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Hypna,clytemnestra,clytemnestra,Hypna clytemnestra clytemnestra,,,,GBIF,Accepted,,,,,,14,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Hypna,clytemnestra,corumbaensis,Hypna clytemnestra corumbaensis,,,,GBIF,Accepted,,,,,,16,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Hypna,clytemnestra,corumbaensis,Hypna clytemnestra corumbaensis,Hypna,corumbaensis,,Lepindex,Synonym,,,,,,16,,,"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.",,,,,,
Nymphalidae,Hypna,clytemnestra,forbesi,Hypna clytemnestra forbesi,,,,GBIF,Accepted,,,,,,14,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Hypna,clytemnestra,forbesi,Hypna clytemnestra forbesi,Hypna,forbesi,,Lepindex,Synonym,,,,,,14,,,"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.",,,,,,
Nymphalidae,Hypna,clytemnestra,huebneri,Hypna clytemnestra huebneri,,,,GBIF,Accepted,,,,,,12,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil.Bulletin de la Société entomologique de France,76(5), pp.131-137.",,,,,,
Nymphalidae,Hypna,clytemnestra,huebneri,Hypna clytemnestra huebneri,Hypna,huebneri,,Lepindex,Synonym,,,,,,12,,,"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.",,,,,,
Nymphalidae,Hypna,clytemnestra,,Hypna clytemnestra,,,,GBIF,Accepted,,,,,,14,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypna,clytemnestra,,Hypna clytemnestra,,,,GBIF,Accepted,,,,,,14,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Hypna,clytemnestra,,Hypna clytemnestra,Anaea,clytemnestra,,insecta.pro,Synonym,,,,,,12,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Hypoleria,adasa,,Hypoleria adasa,,,,GBIF,Accepted,,,,,,40,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Hypoleria,aelia,pachiteae,Hypoleria aelia pachiteae,,,,,,,,,,,16,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypoleria,lavinia,,Hypoleria lavinia,,,,GBIF,Accepted,,,,,,58,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypoleria,ocalea,,Hypoleria ocalea,,,,GBIF,Accepted,,,,,,,20-22,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypoleria,orolina,,Hypoleria orolina,,,,GBIF,Accepted,,,,,,30,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypoleria,plisthenes,,Hypoleria plisthenes,,,,GBIF,Accepted,,,,,,16,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Hypoleria,sarepta,virginia,Hypoleria sarepta virginia,,,,GBIF,Accepted,,,,,,,88-90,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypolimnas,bolina,kezia,Hypolimnas bolina kezia,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Maeki, K., Ogata, M. and Shirozu, T., 1965. A study of the chromosomes in twenty-five speceis of Formosan Rhopalocera. Special Bulletines of the Lepidoptera Society Japan, (1), pp.1-10.",,,,,,
Nymphalidae,Hypolimnas,dexithea,,Hypolimnas dexithea,,,,GBIF,Accepted,,,,,,62,,,"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11.",,,,,,
Nymphalidae,Hypolimnas,misippus,,Hypolimnas misippus,,,,GBIF,Accepted,gonochorous,,,,,62,,,Lesse and Condamin 1962,,,,,,
Nymphalidae,Hypolimnas,misippus,,Hypolimnas misippus,,,,GBIF,Accepted,,,,,,62,,,"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11.",,,,,,
Nymphalidae,Hypomenitis,alphesiboea,,Hypomenitis alphesiboea,,,,,,,,,,,120,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypomenitis,cyrcilla,,Hypomenitis cyrcilla,,,,,,,,,,,48,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypomenitis,dercetis,,Hypomenitis dercetis,,,,,,,,,,,54,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypomenitis,enigma,,Hypomenitis enigma,,,,,,,,,,,84,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypomenitis,ortygia,,Hypomenitis ortygia,,,,,,,,,,,136,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypomenitis,theudelinda,,Hypomenitis theudelinda,,,,GBIF,Accepted,,,,,,200,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyponeohele,maroccana,,Hyponeohele maroccana,,,,GBIF,Accepted,,,,,,58,,,"Lesse, H.D., 1970. Formules chromosomiques de quelques Rhopalocères paléarctiques [Lep].Bulletin de la Société entomologique de France,75(7), pp.214-216.",,,,,,
Nymphalidae,Hyponephele,dysdora,,Hyponephele dysdora,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Lesse, H.D., 1961. Signification supraspécifique des formules chromosomiques chez les Lépidoptères. Bulletin de la Société entomologique de France, 66(3), pp.71-83.",,,,,,
Nymphalidae,Hyponephele,lupinus,,Hyponephele lupinus,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Nymphalidae,Hyponephele,lycaon,,Hyponephele lycaon,,,,GBIF,Accepted,gonochorous,,,,,58,,,Lesse 1953a,,,,,,
Nymphalidae,Hyponephele,narica,,Hyponephele narica,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Lesse, H.D., 1961. Signification supraspécifique des formules chromosomiques chez les Lépidoptères. Bulletin de la Société entomologique de France, 66(3), pp.71-83.",,,,,,
Nymphalidae,Hyposcada,anchiala,,Hyposcada anchiala,,,,GBIF,Accepted,,,,,,30,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hyposcada,attilodes,,Hyposcada attilodes,,,,GBIF,Accepted,,,,,,26,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hyposcada,illinissa,,Hyposcada illinissa,,,,GBIF,Accepted,,,,,,28,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hyposcada,virginiana,,Hyposcada virginiana,,,,GBIF,Accepted,,,,,,30,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypothyris,cantobrica,,Hypothyris cantobrica,,,,,,,,,,,100,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypothyris,daeta,daeta,Hypothyris daeta daeta,Hypothyris,noinonia,daeta,Lepindex,Described as subspecies subsequently,,,,,,,"36,38",,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Hypothyris,daphnis,,Hypothyris daphnis,,,,GBIF,Accepted,,,,,,40,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypothyris,euclea,,Hypothyris euclea,,,,GBIF,Accepted,,,,,,28,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,evanescens,,Hypothyris evanescens,,,,,,,,,,,,42-44,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,fluonia,,Hypothyris fluonia,,,,GBIF,Accepted,,,,,,30,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,leprieuri,,Hypothyris leprieuri,,,,GBIF,Accepted,,,,,,40,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,lycaste,,Hypothyris lycaste,,,,GBIF,Accepted,,,,,,90,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,mamercus,,Hypothyris mamercus,,,,GBIF,Accepted,,,,,,48,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,ninonia,,Hypothyris ninonia,,,,GBIF,Accepted,,,,,,32,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Hypothyris,rowena,,Hypothyris rowena,,,,,,,,,,,18,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,semifulva,,Hypothyris semifulva,,,,GBIF,Accepted,,,,,,34,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,thea,,Hypothyris thea,,,,GBIF,Accepted,,,,,,10,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,vallonia,,Hypothyris vallonia,,,,GBIF,Accepted,,,,,,40,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Hypothyris,valora,,Hypothyris valora,,,,GBIF,Accepted,,,,,,32,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Idea,leuconoe,clara,Idea leuconoe clara,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.",,,,,,
Nymphalidae,Ideopsis,similis,,Ideopsis similis,Radena,similis,,Lepindex,Synonym,,,,,,26,,,"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.",,,,,,
Nymphalidae,Inachis,io,geisha,Inachis io geisha,,,,,,gonochorous,,,,,62,,,Maeki 1961,,,,,,
Nymphalidae,Inachus,io,geisha,Inachus io geisha,,,,,,,,,,,62,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Nymphalidae,Issoria,lathonia,,Issoria lathonia,Argynnis,lathonia,,GBIF,Synonym,gonochorous,ZW,,,60,60,,,"Federley, H., 1938. CHROMOSOMENZAHLEN FINNLÄN?DISCHER LEPIDOPTEREN: I. RHOPALOCERA. Hereditas, 24(4), pp.397-464.",,,,,,
Nymphalidae,Ithomia,agnosia,agnosia,Ithomia agnosia agnosia,,,,GBIF,Accepted,,,,,,,"36,38",,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Ithomia,agnosia,zikani,Ithomia agnosia zikani,,,,GBIF,Accepted,,,,,,36,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Ithomia,agnosia,,Ithomia agnosia,,,,GBIF,Accepted,,,,,,36,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,avella,,Ithomia avella,,,,GBIF,Accepted,,,,,,40,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Ithomia,celemia,,Ithomia celemia,,,,GBIF,Accepted,,,,,,34,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,diasia,,Ithomia diasia,,,,GBIF,Accepted,,,,,,34,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,drymo,,Ithomia drymo,,,,GBIF,Accepted,,,,,,,"36,40",,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Ithomia,drymo,,Ithomia drymo,,,,GBIF,Accepted,,,,,,40,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,ellara,,Ithomia ellara,,,,GBIF,Accepted,,,,,,40,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,hyala,,Ithomia hyala,,,,GBIF,Accepted,,,,,,38,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,iphianassa,,Ithomia iphianassa,,,,GBIF,Accepted,,,,,,22,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Ithomia,jucunda,,Ithomia jucunda,,,,GBIF,Accepted,,,,,,32,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
